LUNI          | MARTI         | MIERCURI      | JOI           | VINERI
08:00 - 08:50 | 08:00 - 08:50 | 08:00 - 08:50 | 08:00 - 08:50 | 08:00 - 08:50
Romana        | Matematica    | Dirigentie    | Matematica    | Franceza
09:00 - 09:50 | 09:00 - 09:50 | 09:00 - 09:50 | 09:00 - 09:50 | 09:00 - 09:50
Matematica    | Istorie       | Informatica   | Matematica    | Geografie
10:00 - 10:50 | 10:00 - 10:50 | 10:00 - 10:50 | 10:00 - 10:50 | 10:00 - 10:50
Franceza      | Engleza       | Informatica   | Romana        | Romana
11:10 - 12:00 | 11:10 - 12:00 | 11:10 - 12:00 | 11:10 - 12:00 | 11:10 - 12:00
Informatica   | Romana        | Sport         | Engleza       | Informatica
