LUNI          | MARTI         | MIERCURI      | JOI           | VINERI
08:00 - 08:50 | 08:00 - 08:50 | 08:00 - 08:50 | 08:00 - 08:50 | 08:00 - 08:50
Istorie       | Matematica    | Dirigentie    | Engleza       | Franceza
09:00 - 09:50 | 09:00 - 09:50 | 09:00 - 09:50 | 09:00 - 09:50 | 09:00 - 09:50
Informatica   | Romana        | Matematica    | Informatica   | Matematica
10:00 - 10:50 | 10:00 - 10:50 | 10:00 - 10:50 | 10:00 - 10:50 | 10:00 - 10:50
Fizica        | Chimie        | Biologie      | Matematica    | Informatica
11:10 - 12:00 | 11:10 - 12:00 | 11:10 - 12:00 | 11:10 - 12:00 | 11:10 - 12:00
Franceza      | Romana        | Informatica   | Romana        | Engleza
